Fecha,Localidad,Estacion,Transecto,Parcela,Especie,CAP (cm),DAP (cm),Altura (m),Estado,Estado de decaimiento,Biomasa vivos (kg),Biomasa de arboles muertos (kg),Biomasa total (kg)
10/17/2022,San Andres,Smith Channel,1,6,Lr,33,10.50420168,15,V,,43.85948722,,43.85948722
10/17/2022,San Andres,Smith Channel,1,6,Rm,8.6,2.73745862,3,V,,3.436189805,,3.436189805
10/17/2022,San Andres,Smith Channel,1,6,Rm,10,3.183091418,3,V,,4.872287207,,4.872287207
10/17/2022,San Andres,Smith Channel,1,6,Rm,18,5.729564553,6,V,,19.00051235,,19.00051235
10/17/2022,San Andres,Smith Channel,1,6,Lr,40,12.73236567,6,V,,67.30858781,,67.30858781
10/17/2022,San Andres,Smith Channel,1,6,Rm,43.2,13.75095493,15,V,,144.2342497,,144.2342497
10/17/2022,San Andres,Smith Channel,1,6,Rm,10.3,3.278584161,4,V,,5.21740929,,5.21740929
10/17/2022,San Andres,Smith Channel,1,6,Rm,170,54.11255411,4.5,M,3,3440.26002,2408.182014,2408.182014
10/17/2022,San Andres,Smith Channel,1,6,Rm,12,3.819709702,4,V,,7.431238839,,7.431238839
10/17/2022,San Andres,Smith Channel,1,6,Rm,8.8,2.801120448,4,V,,3.624045249,,3.624045249
10/17/2022,San Andres,Smith Channel,1,6,Rm,25,7.957728546,8,V,,40.65213722,,40.65213722
10/17/2022,San Andres,Smith Channel,1,6,Rm,13.3,4.233511586,8,V,,9.429454844,,9.429454844
10/17/2022,San Andres,Smith Channel,1,6,Rm,15.2,4.838298956,6,V,,12.84562797,,12.84562797
10/17/2022,San Andres,Smith Channel,1,6,Lr,13,4.138018844,6,V,,5.512233342,,5.512233342
10/17/2022,San Andres,Smith Channel,1,6,Rm,9,2.864782277,3,V,,3.817601238,,3.817601238
10/17/2022,San Andres,Smith Channel,1,6,Lr,11.4,3.628724217,3.5,V,,4.114689564,,4.114689564
10/17/2022,San Andres,Smith Channel,1,6,Rm,18,5.729564553,3.5,V,,19.00051235,,19.00051235
10/17/2022,San Andres,Smith Channel,1,6,Rm,11,3.50140056,3,V,,6.07532289,,6.07532289
10/17/2022,San Andres,Smith Channel,1,6,Rm,29,9.230965113,1.5,V,,57.32221521,,57.32221521
10/17/2022,San Andres,Smith Channel,1,6,Rm,27,8.59434683,1.8,M,3,48.58133041,34.006931,34.006931
10/17/2022,San Andres,Smith Channel,1,6,Rm,13.4,4.265342501,3,M,3,9.594417668,6.716092,6.716092
10/17/2022,San Andres,Smith Channel,1,6,Rm,11.5,3.660555131,1.5,V,,6.73389888,,6.73389888
10/17/2022,San Andres,Smith Channel,1,6,Rm,32,10.18589254,1.5,M,3,71.9957111,50.396998,50.396998
10/17/2022,San Andres,Smith Channel,1,6,Rm,22.5,7.161955691,5,M,3,31.85231962,22.296624,22.296624
10/17/2022,San Andres,Smith Channel,1,6,Rm,14.4,4.583651642,3.5,V,,11.33416573,,11.33416573
10/17/2022,San Andres,Smith Channel,1,6,Rm,29.5,9.390119684,8,V,,59.63645154,,59.63645154
10/17/2022,San Andres,Smith Channel,1,6,Rm,21.5,6.84364655,5,V,,28.66999697,,28.66999697
10/17/2022,San Andres,Smith Channel,1,6,Rm,22.5,7.161955691,10,V,,31.85231962,,31.85231962
10/17/2022,San Andres,Smith Channel,1,6,Rm,13.5,4.297173415,4,V,,9.761007691,,9.761007691
10/17/2022,San Andres,Smith Channel,1,6,Rm,23,7.321110262,4.5,V,,33.51516328,,33.51516328
10/17/2022,San Andres,Smith Channel,1,6,Rm,21.5,6.84364655,5,V,,28.66999697,,28.66999697
10/17/2022,San Andres,Smith Channel,1,6,Rm,10,3.183091418,3,V,,4.872287207,,4.872287207
10/17/2022,San Andres,Smith Channel,1,6,Rm,21.5,6.84364655,6,V,,28.66999697,,28.66999697
10/17/2022,San Andres,Smith Channel,1,6,Rm,19.5,6.207028266,6,V,,22.86914965,,22.86914965
10/17/2022,San Andres,Smith Channel,1,6,Rm,15.5,4.933791698,2.5,V,,13.44026592,,13.44026592
10/17/2022,San Andres,Smith Channel,1,6,Rm,15.5,4.933791698,2.5,V,,13.44026592,,13.44026592
10/17/2022,San Andres,Smith Channel,1,6,Rm,12,3.819709702,2,V,,7.431238839,,7.431238839
10/17/2022,San Andres,Smith Channel,1,6,Rm,12.5,3.978864273,3,V,,8.167866558,,8.167866558
10/17/2022,San Andres,Smith Channel,1,5,Rm,18.5,5.888719124,6,V,,20.24489756,,20.24489756
10/17/2022,San Andres,Smith Channel,1,5,Rm,15.5,4.933791698,5,V,,13.44026592,,13.44026592
10/17/2022,San Andres,Smith Channel,1,5,Rm,12.5,3.978864273,4,V,,8.167866558,,8.167866558
10/17/2022,San Andres,Smith Channel,1,5,Rm,22.5,7.161955691,6,V,,31.85231962,,31.85231962
10/17/2022,San Andres,Smith Channel,1,5,Rm,13,4.138018844,2.5,V,,8.944291081,,8.944291081
10/17/2022,San Andres,Smith Channel,1,5,Rm,15,4.774637128,5,V,,12.45767432,,12.45767432
10/17/2022,San Andres,Smith Channel,1,5,Rm,10,3.183091418,3,V,,4.872287207,,4.872287207
10/17/2022,San Andres,Smith Channel,1,5,Rm,10.5,3.342245989,4,V,,5.454971236,,5.454971236
10/17/2022,San Andres,Smith Channel,1,5,Rm,15.5,4.933791698,5,V,,13.44026592,,13.44026592
10/17/2022,San Andres,Smith Channel,1,5,Rm,21.5,6.84364655,6,V,,28.66999697,,28.66999697
10/17/2022,San Andres,Smith Channel,1,5,Rm,17.5,5.570409982,5,V,,17.80077353,,17.80077353
10/17/2022,San Andres,Smith Channel,1,5,Rm,11.5,3.660555131,2,V,,6.73389888,,6.73389888
10/17/2022,San Andres,Smith Channel,1,5,Rm,9.5,3.023936847,3,V,,4.326695621,,4.326695621
10/17/2022,San Andres,Smith Channel,1,5,Rm,15,4.774637128,3,V,,12.45767432,,12.45767432
10/17/2022,San Andres,Smith Channel,1,5,Rm,49.5,15.75630252,20,V,,197.6752505,,197.6752505
10/17/2022,San Andres,Smith Channel,1,5,Rm,17.5,5.570409982,6,V,,17.80077353,,17.80077353
10/17/2022,San Andres,Smith Channel,1,5,Rm,11,3.50140056,2,V,,6.07532289,,6.07532289
10/17/2022,San Andres,Smith Channel,1,5,Rm,11.2,3.565062389,20,V,,6.334135778,,6.334135778
10/17/2022,San Andres,Smith Channel,1,5,Rm,140,44.56327986,20,V,,2194.639147,,2194.639147
10/17/2022,San Andres,Smith Channel,1,4,Rm,24,7.639419404,5,V,,36.98588106,,36.98588106
10/17/2022,San Andres,Smith Channel,1,4,Rm,23.5,7.480264833,8,V,,35.22624102,,35.22624102
10/17/2022,San Andres,Smith Channel,1,4,Rm,15.2,4.838298956,5,V,,12.84562797,,12.84562797
10/17/2022,San Andres,Smith Channel,1,4,Rm,15.5,4.933791698,4,V,,13.44026592,,13.44026592
10/17/2022,San Andres,Smith Channel,1,4,Rm,18,5.729564553,4,V,,19.00051235,,19.00051235
10/17/2022,San Andres,Smith Channel,1,4,Rm,170,54.11255411,20,V,,3440.26002,,3440.26002
10/17/2022,San Andres,Smith Channel,1,4,Rm,16,5.092946269,5,V,,14.46544761,,14.46544761
10/17/2022,San Andres,Smith Channel,1,4,Rm,15.2,4.838298956,3,V,,12.84562797,,12.84562797
10/17/2022,San Andres,Smith Channel,1,4,Rm,10.5,3.342245989,5,V,,5.454971236,,5.454971236
10/17/2022,San Andres,Smith Channel,1,4,Rm,22.5,7.161955691,8,V,,31.85231962,,31.85231962
10/17/2022,San Andres,Smith Channel,1,4,Rm,21.5,6.84364655,8,V,,28.66999697,,28.66999697
10/17/2022,San Andres,Smith Channel,1,4,Rm,140,44.56327986,20,V,,2194.639147,,2194.639147
10/17/2022,San Andres,Smith Channel,1,4,Rm,10,3.183091418,4.5,V,,4.872287207,,4.872287207
10/17/2022,San Andres,Smith Channel,1,4,Rm,13,4.138018844,4.5,V,,8.944291081,,8.944291081
10/17/2022,San Andres,Smith Channel,1,4,Rm,8.6,2.73745862,3,V,,3.436189805,,3.436189805
10/17/2022,San Andres,Smith Channel,1,4,Rm,11.7,3.72421696,5,V,,7.008153513,,7.008153513
10/17/2022,San Andres,Smith Channel,1,4,Rm,8.2,2.610134963,3,V,,3.07741519,,3.07741519
10/17/2022,San Andres,Smith Channel,1,4,Rm,14.7,4.679144385,5.5,V,,11.88838075,,11.88838075
10/17/2022,San Andres,Smith Channel,1,4,Rm,85,27.05627706,18,V,,691.2203562,,691.2203562
10/17/2022,San Andres,Smith Channel,1,4,Rm,12.5,3.978864273,14,V,,8.167866558,,8.167866558
10/17/2022,San Andres,Smith Channel,1,4,Rm,15,4.774637128,5,V,,12.45767432,,12.45767432
10/17/2022,San Andres,Smith Channel,1,4,Rm,85,27.05627706,20,V,,691.2203562,,691.2203562
10/17/2022,San Andres,Smith Channel,1,4,Rm,14.5,4.615482557,5.5,V,,11.51723468,,11.51723468
10/17/2022,San Andres,Smith Channel,1,4,Rm,150,47.74637128,2,V,,2574.7613,,2574.7613
10/17/2022,San Andres,Smith Channel,1,4,Rm,12.5,3.978864273,3,V,,8.167866558,,8.167866558
10/17/2022,San Andres,Smith Channel,1,4,Rm,21.4,6.811815635,6,V,,28.36219837,,28.36219837
10/17/2022,San Andres,Smith Channel,1,4,Rm,10.3,3.278584161,3,V,,5.21740929,,5.21740929
10/17/2022,San Andres,Smith Channel,1,4,Rm,17.2,5.47491724,5,V,,17.10219657,,17.10219657
10/17/2022,San Andres,Smith Channel,1,4,Rm,30.5,9.708428826,6,V,,64.42171746,,64.42171746
10/17/2022,San Andres,Smith Channel,1,4,Rm,11.2,3.565062389,4,V,,6.334135778,,6.334135778
10/17/2022,San Andres,Smith Channel,1,4,Rm,8.3,2.641965877,3,V,,3.16500491,,3.16500491
10/17/2022,San Andres,Smith Channel,1,4,Rm,10.8,3.437738732,3,V,,5.822626087,,5.822626087
10/17/2022,San Andres,Smith Channel,1,4,Rm,8.7,2.769289534,3,V,,3.529407517,,3.529407517
10/17/2022,San Andres,Smith Channel,1,4,Rm,10,3.183091418,4,V,,4.872287207,,4.872287207
10/17/2022,San Andres,Smith Channel,1,4,Rm,10.2,3.246753247,5,V,,5.100877084,,5.100877084
10/17/2022,San Andres,Smith Channel,1,4,Rm,8.4,2.673796791,3,V,,3.25399373,,3.25399373
10/17/2022,San Andres,Smith Channel,1,4,Rm,90,28.64782277,20,M,1,789.0246347,769.299019,769.299019
10/17/2022,San Andres,Smith Channel,1,4,Rm,18.2,5.793226381,4,V,,19.49288701,,19.49288701
10/17/2022,San Andres,Smith Channel,1,4,Rm,120,38.19709702,15,M,1,1535.893915,1497.496567,1497.496567
